indicator_id,source,indicator,description,transformation,description_values,interpretability,forecast,group_id,group_name,map,slug,slug_text,type_plot,color_scale
1,WBG,WBG Conflict Forecast (Percentage likelihood of Conflict Outbreak next 12 months),"The World Bank Group's FCV Risk Monitoring system relies on underlying forecasting models to measure the risk of conflict and social unrest with 12, 24 and 36-month time horizon. The Conflict Forecast predicts the probability of conflict outnreak in countries that have been peaceful over the 12 previous months. A conflict outbreak is defined as 25+ battle-related deaths in a month.",Qualitative Assesment,Predicted probability of conflict outbreak (more than 25 battle-related deaths) in the next 12 months. In conflict (predicted probability equals 1); Low (predicted probability below threshold): High (predicted probability above threshold).,Higher predicted probability indicate greater risk outbreak,forecast,1_1,WBG Conflict Forecast,default,WBG_FORECAST_probability_12m,WBG_FORECAST_status_12m,text-based,Low (Green); High (Red); In Conflict (Dark Red)
2,WBG,WBG CRM Overall (FCV dimension),"The World Bank Group's Compound Risk Monitor (CRM) is a multidimensional early warning system measuring the risk of crisis in each country across six dimensions (Socioeconomics, Natural hazards, Health, Food security, Conflict & Fragility and Macro-Fiscal) drawing from open-source and internal data. For each dimension, the CRM attributes two scores measuring Emerging Threats and Underlying Vulnerability, as well as an aggregated score (Overall).

This indicator corresponds to the Overall sscore for the Conflict and Fragility (FCV) dimension. ",None,"Percentiles of count of overall flags, including emerging threats and underlying vulnerabilities flags",Higher percentiles indicate greater compund risk,monitoring,4_1,Monitoring Indicators,default,CRM Overall Fragility and Conflict,,numerical,
3,Conflictforecast.org,Conflictforecast.org (predicted % change in number of conflict events next month relative to 12-month average),"Estimated probability of armed conflict in the next twelve months using population, text-related variables and conflict dynamic variables.",Percentage change in predicted probability,"Percentage (%), as it is a change can take negative and positive values. Qualitative assesment is based on the median, percentage changes below the median are classified as ""Low"", and ""High"" otherwise.",Higher percentages indicate greater risk of conflict.,forecast,2_1,Other Forecasting Models,secondary,CONFLICTFORECAST_armed_conflict_12m,,text-based,Low (Green); High (Red)
4,WBG,WBG FCS List (Qualitative Assesment),"The World Bank Group's Fragility, Conflict, and Violence (FCV) list categorizes countries based on their level of fragility, with a focus on political, social, and economic vulnerabilities. It serves as a tool for identifying countries at risk of conflict and violence to guide policy decisions. Multidimensional index including information on the following: Country Policy and Institutional Assessment (CPIA) scores, whether a UN peacekeeping operation is present, the severity of border flight, and conflict-related deaths.",None,Included; Not Included,Included means higher risk of conflict and violence,monitoring,4_X,Monitoring Indicators,secondary,FCS List,,text-based,Not Included (Green); Included (Red)
5,WBG,WBG Conflict Forecast (Percentage likelihood of Conflict Outbreak next 24 months),"The World Bank Group's FCV Risk Monitoring system relies on underlying forecasting models to measure the risk of conflict and social unrest with 12, 24 and 36-month time horizon. The Conflict Forecast predicts the probability of conflict outnreak in countries that have been peaceful over the 12 previous months. A conflict outbreak is defined as 25+ battle-related deaths in a month.",Qualitative Assesment,Predicted probability of conflict outbreak (more than 25 battle-related deaths) in the next 24 months. In conflict (predicted probability equals 1); Low (predicted probability below threshold): High (predicted probability above threshold).,Higher predicted probability indicate greater risk outbreak,forecast,1_2,WBG Conflict Forecast,secondary,WBG_FORECAST_probability_24m,WBG_FORECAST_status_24m,text-based,Low (Green); High (Red); In Conflict (Dark Red)
6,WBG,WBG Conflict Forecast (Percentage likelihood of Conflict Outbreak next 36 months),"The World Bank Group's FCV Risk Monitoring system relies on underlying forecasting models to measure the risk of conflict and social unrest with 12, 24 and 36-month time horizon. The Conflict Forecast predicts the probability of conflict outnreak in countries that have been peaceful over the 12 previous months. A conflict outbreak is defined as 25+ battle-related deaths in a month.",Qualitative Assesment,Predicted probability of conflict outbreak (more than 25 battle-related deaths) in the next 36 months. In conflict (predicted probability equals 1); Low (predicted probability below threshold): High (predicted probability above threshold).,Higher predicted probability indicate greater risk outbreak,forecast,1_3,WBG Conflict Forecast,secondary,WBG_FORECAST_probability_36m,WBG_FORECAST_status_36m,text-based,Low (Green); High (Red); In Conflict (Dark Red)
7,UCDP,UCDP ViEWS (predicted % change in probability of risk of a conflict outbreak in next month relative to 12-month average),"The Uppsala Conflict Data Program's Violence Early Warning System (ViEWS) is a tool that provides early warnings of violent conflicts. It uses machine learning algorithms to analyze historical data and predict the likelihood of violent conflicts. Predicted probability of at least 25 battle-related deaths (BRDs) per country-month, or at least 1 BRD per PRIO-GRID-month. Estimated from the ensemble model results for the applicable type of violence and level of analysis.",Percentage change in predicted probability,"Percentage (%), as it is a change can take negative and positive values. Qualitative assesment is based on the median, percentage changes below the median are classified as ""Low"", and ""High"" otherwise.",Higher percentages indicate greater risk of conflict.,forecast,2_2,Other Forecasting Models,secondary,VIEWS_main_dich,,text-based,Low (Green); High (Red)
8,ACLED,ACLED CAST (predicted % change in number of conflict events next month relative to 6-month average),"ACLED CAST is a forecasting tool that predicts political violence events up to six months in the future for every country in the world. Updated predictions are released each month for the following six months, alongside accuracy metrics for previous forecasts.",Percentage change in predicted probability,"Percentage (%), as it is a change can take negative and positive values. Qualitative assesment is based on the median, percentage changes below the median are classified as ""Low"", and ""High"" otherwise.","Higher percentages indicate greater risk of conflict. Low means, low risk of conflict outbreak",forecast,2_3,Other Forecasting Models,secondary,CAST,,text-based,Low (Green); High (Red)
9,ACLED,"ACLED Conflict Events, Early Watch (Number of conflict events)","Early warning monitoring of conflict events based on ACLED data, providing near real-time analysis of conflict trends. This includes the recording of political violence and protest events involving state and non-state actors. Our measure excludes gang-related events.",Logarithmic Transformation,Percentiles of number of conflict events,Higher percentiles indicate greater risk of conflict.,monitoring,4_X,Monitoring Indicators,secondary,ACLED_events,,numerical,
10,Fund for Peace,Fund for Peace Fragile State Index (Percentiles based on Index Score),"The Fragile States Index measures state fragility by analyzing twelve social, economic, and political indicators, providing a comprehensive assessment of countries' vulnerability to instability and conflict. It is widely used by policymakers, researchers, and practitioners to prioritize aid and development efforts in fragile contexts.",Logarithmic Transformation,Percentiles of Index Score from 0 (most stable) to 120 (least stable). ,Higher percentiles indicate greater levels of fragility.,monitoring,4_X,Monitoring Indicators,secondary,FSI,,numerical,
